,BJD,rv,cc,mean_wv_shift
126,2454914.61773443,-9570.000000000022,604945673.6864595,-0.17069666231243208
127,2455580.75369923,-9500.000000000024,627012443.6738623,-0.16945804003955894
128,2455728.44606556,-9220.00000000003,404381402.4097818,-0.16444488033703378
129,2454807.86477811,-9500.000000000024,581817702.9168686,-0.16946041675905216
130,2455626.77124033,-8570.000000000044,516049921.1149837,-0.15286322692546098
131,2455232.83762698,-9490.000000000024,410889524.937369,-0.16927839125915808
132,2455612.75866429,-9480.000000000024,554376838.13571,-0.16909684778676773
133,2455276.53084712,-9460.000000000024,420235778.31826913,-0.16873488535836986
134,2455579.79801402,-9200.00000000003,501021378.86920106,-0.16410718306339517
135,2455225.85468373,-9760.000000000018,579248889.9805894,-0.17409501331498736
136,2455226.78674904,-9500.000000000024,981647742.9675033,-0.1694572477997279
137,2455244.77581957,-9480.000000000024,594086984.9466394,-0.16909874515933968
138,2454618.4994802,-9540.000000000022,309868476.9833055,-0.1701535902721596
139,2455679.48117069,-9250.00000000003,842557925.3868793,-0.16498413246673826
140,2454805.79096924,-9500.000000000024,423108732.38447005,-0.16946057520701832
141,2454920.73248726,-9890.000000000015,664443536.896921,-0.1764030914232062
142,2454878.84380643,-9300.000000000027,605933752.1237704,-0.16588651387815617
143,2454882.74904248,-9840.000000000016,741023767.5512358,-0.17551812960669655
144,2454806.85649805,-9800.000000000016,531242506.77892214,-0.17481164637594154
145,2454802.79498657,-9500.000000000024,762633204.0085983,-0.16946057520701832
146,2453063.67445742,-9480.000000000024,412665464.720488,-0.16909637344362471
147,2455622.69744572,-9480.000000000024,462644709.5224227,-0.16909510852857668
148,2455674.57029286,-9820.000000000016,473673142.93767065,-0.1751508914934137
149,2454800.78609111,-9500.000000000024,708459515.2690328,-0.16946025831108594
150,2455235.68006745,-9210.00000000003,462215748.5539517,-0.16428310814069497
151,2455729.44960441,-8810.000000000038,296142555.2566376,-0.15713306917954004
152,2454780.87114101,-9490.000000000024,436756855.73827577,-0.16928044891441493
153,2453002.83363056,-9500.000000000024,339671130.326201,-0.16946105055091698
154,2455275.63403608,-10210.000000000007,310324549.7461763,-0.18211335332302084
155,2455246.83940142,-9480.000000000024,361774895.82125866,-0.1690971640155297
156,2455243.80918507,-9480.000000000024,558065607.8053036,-0.1690974802442917
157,2455593.76288562,-9490.000000000024,484743144.80575204,-0.1692785495403317
158,2454528.66384478,-9490.000000000024,1053502903.2884489,-0.16927380110512372
159,2454426.8302094,-9500.000000000024,1404694427.0226743,-0.16946025831108583
160,2454141.7538716,-9490.000000000024,1225748804.8954208,-0.16927807469681094
161,2454527.70032644,-9480.000000000024,1177270036.1345806,-0.16909542475733874
162,2454569.58882004,-9500.000000000024,732416684.8815986,-0.1694445719624309
163,2455635.56616023,-9460.000000000024,438856581.00938123,-0.16873630538553241
164,2455735.37791639,-8570.000000000044,77705468.10844858,-0.15285222083029681
165,2454918.6968486,-9680.00000000002,759218289.9463798,-0.1726577875665855
166,2454523.7298872,-9480.000000000024,751616785.2405881,-0.16909605721486276
167,2454916.73689913,-9430.000000000025,680862032.4811901,-0.16819898206538628
168,2455689.49105916,-9560.000000000022,188787833.00371584,-0.1705112744622807
169,2455585.8469922,-9500.000000000024,436660451.11528945,-0.16945788159159278
170,2455638.74734489,-9900.000000000015,456087823.2697147,-0.176582783378589
171,2454917.71869147,-9430.000000000025,625832827.8369601,-0.1681989820653863
172,2455642.63671935,-9450.000000000024,585510472.1625997,-0.1685566706633109
173,2455656.4913916,-9420.000000000025,640101734.6638169,-0.1680185681488538
174,2455277.64563002,-9450.000000000024,523862106.77060807,-0.16855651304930766
175,2455662.61612106,-9450.000000000024,404471610.6166415,-0.16855351838324575
176,2455592.77127047,-9170.000000000031,753538853.2070867,-0.1635709639689114
177,2455678.46740533,-9570.000000000022,455312816.2814933,-0.17069107576941364
178,2455577.87313425,-9500.000000000024,538678440.807111,-0.16945867383142382
179,2455222.81010438,-9490.000000000024,481975700.26245165,-0.1692790243838525
180,2455654.59041373,-9600.000000000022,544386022.0294604,-0.17122985731225124
181,2454913.49375278,-9450.000000000024,725158624.6308937,-0.16855651304930766
182,2453063.67445742,-9480.000000000024,412665464.720488,-0.16909637344362471
183,2455693.53620301,-9560.000000000022,645418757.9117354,-0.17051095556483645
184,2455576.8647941,-9500.000000000024,317805922.3522958,-0.16945994141515341
185,2455242.86175157,-9480.000000000024,588940107.4394622,-0.16909811270181566
