,I_CaII,I_CaII_Rneg,I_CaII_err,I_Ha06,I_Ha06_Rneg,I_Ha06_err,I_NaI,I_NaI_Rneg,I_NaI_err,SNR,bjd,file,instr,obj,rv
40,0.19943643832770136,0.0,0.00035894552165846897,0.12372544789292045,0.0,0.0001095545556440723,0.18542480263187242,0.0,0.0001425669460888134,265.2,2456922.68525246,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-07T13:37:20.683.fits,HARPS,HD192310,-54192.999999999985
41,0.14487377808485194,0.0,0.0001898201964949936,0.11648782048847292,0.0,8.128899776054287e-05,0.18334693115192477,0.0,0.00010564728262183109,383.85,2455834.59356157,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-25T15:34:18.903.fits,HARPS,HD192310,-54192.999999999985
42,0.19269648971480446,0.0,0.0011898596705338976,0.12202555564552353,0.0,0.0003717817620136011,0.1830148656435383,0.0,0.0005187682806694938,73.2,2453291.50780651,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-01T10:21:13.020.fits,HARPS,HD192310,-54192.999999999985
43,0.19627407884279324,0.0,0.00048202274058234607,0.12135888851338199,0.0,0.00016887867600276155,0.17943040563017706,0.0,0.00023081393712622402,175.9,2453484.90136442,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-02T10:02:35.753.fits,HARPS,HD192310,-54192.999999999985
44,0.1475730387296676,0.0,0.0003413297460061378,0.11656701153804255,0.0,0.0001302606047516982,0.18438330383799928,0.0,0.0001774147546751007,212.05,2455770.66850202,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-25T15:34:50.990.fits,HARPS,HD192310,-54192.999999999985
45,0.14377764104613697,0.0,0.0002796800777415681,0.11590109567586834,0.0,0.00011946190526000284,0.18428154634541596,0.0,0.00016209407190334628,245.8,2455099.67503342,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:05:26.727.fits,HARPS,HD192310,-54192.999999999985
46,0.14140792425857857,0.0,0.0003101016531451933,0.11610434138015295,0.0,0.00011525352499535393,0.18314143048441894,0.0,0.0001545150107562709,247.4,2455501.57081797,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-24T09:44:32.797.fits,HARPS,HD192310,-54192.999999999985
47,0.18757354462550066,0.0,0.0003679036064697188,0.12323332494665643,0.0,0.00011753850817173468,0.1860366696157332,0.0,0.0001539070188145117,245.5,2456526.74908034,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-06T10:04:41.393.fits,HARPS,HD192310,-54192.999999999985
48,0.1663022561499496,0.0,0.0005748271453307097,0.12012488569608429,0.0,0.00019951979619665713,0.1866877691063177,0.0,0.00026606873796597273,141.55,2456476.8781406,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-06T10:06:06.507.fits,HARPS,HD192310,-54192.999999999985
49,0.17750715098551015,0.0,0.00031993344810857445,0.12066715136768513,0.0,0.00010468096882532194,0.18690211137138094,0.0,0.00014148886387843984,263.8,2456533.48388381,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-06T10:06:20.653.fits,HARPS,HD192310,-54192.999999999985
50,0.1606238697203627,0.0,0.00033968296988227644,0.11913094364382107,0.0,0.00012622324293040543,0.18555858316465537,0.0,0.0001657809514028885,234.95,2456061.93728903,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-26T16:51:53.370.fits,HARPS,HD192310,-54192.999999999985
51,0.16776371045718685,0.0,0.0006162418254055465,0.1201017594380042,0.0,0.0002169883522692332,0.18687058192354514,0.0,0.00028929490685830226,130.9,2456476.87221449,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-06T10:05:22.790.fits,HARPS,HD192310,-54192.999999999985
52,0.16721613614284836,0.0,0.0004364084278526215,0.12091495829130945,0.0,0.00018590510326476606,0.19219992566689442,0.0,0.00024193905187628887,181.5,2457662.58030389,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2016-10-02T01:02:55.827.fits,HARPS,HD192310,-54192.999999999985
53,0.17396452496243497,0.0,0.00023041920808967162,0.12051716296112631,0.0,7.698001754554053e-05,0.18407538068464585,0.0,0.00010022593771683731,376.25,2456452.90884155,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-06T10:05:52.900.fits,HARPS,HD192310,-54192.999999999985
54,0.18792627838054887,0.0,0.00039522863647597464,0.12325582186808438,0.0,0.00012738275059713525,0.18608985594077737,0.0,0.00016738964911549244,224.9,2456870.78422412,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-07T08:35:49.907.fits,HARPS,HD192310,-54192.999999999985
55,0.19846705528272318,0.0,0.0004220537846110317,0.1236291253322432,0.0,0.00013161986760392325,0.18643673445463296,0.0,0.00017310728895432174,218.95,2456924.66762861,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-07T13:37:18.477.fits,HARPS,HD192310,-54192.999999999985
56,0.18005169788818465,0.0,0.0003832539895533988,0.12078762146543691,0.0,0.00013548503851250435,0.18322564869726796,0.0,0.00018617917520946022,213.25,2453273.55959945,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-01T10:20:18.250.fits,HARPS,HD192310,-54192.999999999985
57,0.1429061250384309,0.0,0.0002765902075300248,0.11698735934456041,0.0,9.657956270649541e-05,0.18374764346149342,0.0,0.0001286025122424817,294.85,2455871.537629,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-25T15:33:09.983.fits,HARPS,HD192310,-54192.999999999985
58,0.15715655551332236,0.0,0.00028575297332081697,0.11869074492544043,0.0,0.00010591779853421524,0.18545581153342938,0.0,0.00014030621127140183,276.7,2456220.52560664,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-26T16:52:29.273.fits,HARPS,HD192310,-54192.999999999985
59,0.16568451136286247,0.0,0.0005928260297063901,0.11979837915060701,0.0,0.00021343744389584084,0.18731542345468694,0.0,0.00028438761803055,134.5,2456476.86934403,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-06T10:06:21.340.fits,HARPS,HD192310,-54192.999999999985
60,0.14848061624577058,0.0,0.00022465120623121532,0.1158392867051262,0.0,9.636492402570808e-05,0.18470803850330644,0.0,0.0001312283233232053,304.55,2455024.84360416,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:05:19.010.fits,HARPS,HD192310,-54192.999999999985
61,0.15418418722422925,0.0,0.0002560206269878179,0.11822973778263214,0.0,9.128746694927358e-05,0.18521580958703265,0.0,0.00012131204175633951,314.55,2456117.80564263,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-26T16:54:01.760.fits,HARPS,HD192310,-54192.999999999985
62,0.14498155049321326,0.0,0.00024576459035114046,0.11649819994336688,0.0,9.377873466171374e-05,0.18453376593711565,0.0,0.00012654199953341018,303.55,2455806.65295873,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-25T15:32:39.760.fits,HARPS,HD192310,-54192.999999999985
63,0.1472996617058061,0.0,0.0003347808862924735,0.11674166548293977,0.0,0.00012146098858146585,0.18523673867770982,0.0,0.00016764550466836177,222.85,2455803.48449381,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-25T15:37:24.853.fits,HARPS,HD192310,-54192.999999999985
64,0.16324636051244082,0.0,0.0005242659376451193,0.11956114036505228,0.0,0.00019503669294159356,0.18456391313490403,0.0,0.00027085468734953694,144.7,2454316.76128171,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-17T11:23:58.840.fits,HARPS,HD192310,-54192.999999999985
65,0.14477783215210818,0.0,0.00028611325558639445,0.11669448078679424,0.0,0.00011296064901925249,0.18439856924040315,0.0,0.00015318523356639386,255.0,2455376.77166247,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-24T09:41:54.237.fits,HARPS,HD192310,-54192.999999999985
66,0.17258003808701322,0.0,0.0003593739340994258,0.12019505330159114,0.0,0.00013317374587989674,0.18486126066742414,0.0,0.0001741040101390412,222.25,2456454.85676635,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-06T10:08:00.417.fits,HARPS,HD192310,-54192.999999999985
67,0.14636480789006737,0.0,0.0003293966471935764,0.11655293018367649,0.0,0.0001413785675513031,0.18439990724875271,0.0,0.00019188055030528505,206.8,2455045.79406838,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-23T11:05:54.043.fits,HARPS,HD192310,-54192.999999999985
68,0.14636396833554102,0.0,0.0003644268906644008,0.11718068936107379,0.0,0.00013431403952665714,0.18533302183837663,0.0,0.00017979309480448192,213.1,2455783.78428182,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-25T15:34:37.963.fits,HARPS,HD192310,-54192.999999999985
69,0.19333645083752315,0.0,0.0011119290249314393,0.12206588133736773,0.0,0.0003630029518450383,0.18218749635326054,0.0,0.0005013448204251455,76.95,2453291.50887122,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-10-01T10:23:28.007.fits,HARPS,HD192310,-54192.999999999985
70,0.18684574650110294,0.0,0.00022513387564731667,0.12354314666779531,0.0,8.73584989210725e-05,0.19260582988257405,0.0,0.0001127826501023522,379.15,2457221.65941173,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2015-07-19T23:55:45.717.fits,HARPS,HD192310,-54192.999999999985
71,0.1563056303518042,0.0,0.0003801810484903245,0.11815305871112453,0.0,0.00014619894710435284,0.18307508267314812,0.0,0.00019976765860567857,194.0,2454683.73450185,teste_download/HD192310/HD192310_HARPS/ADP/ADP.2014-09-18T12:11:44.470.fits,HARPS,HD192310,-54192.999999999985
