,I_CaII,I_CaII_Rneg,I_CaII_err,I_Ha06,I_Ha06_Rneg,I_Ha06_err,I_NaI,I_NaI_Rneg,I_NaI_err,actin_ver,bjd,file,instr,rv
48,0.4553941886125071,0.0,0.0012861332609337113,0.16457287168413345,0.0,0.00021622427164589997,0.1136715003539058,0.0,0.00020190087695822273,2.0_beta_11,2454852.71653772,average_2009-01-21_s1d_A.fits,test,-9490.000000000024
49,0.4001932007940826,0.0,0.0014800159354505314,0.15957619511493995,0.0,0.00025381807945906547,0.11488978479835209,0.0,0.0002452178848654186,2.0_beta_11,2455235.68006745,average_2009-01-22_s1d_A.fits,test,-9210.00000000003
50,0.4670093236030738,0.0,0.001070756616992267,0.16449246506629275,0.0,0.00016178757128394657,0.11513212750167695,0.0,0.00015472917692013147,2.0_beta_11,2454525.73898076,average_2009-01-23_s1d_A.fits,test,-9480.000000000024
51,0.4072788771063924,0.0,0.0014412992758993932,0.15771506933869883,0.0,0.0002463232639550314,0.115222555820212,0.0,0.00023649478241173129,2.0_beta_11,2455248.84351007,average_2009-02-16_s1d_A.fits,test,-9480.000000000024
52,0.4572909634636305,0.0,0.001743921467626273,0.1656830451768648,0.0,0.0002809294286226355,0.11514694850982467,0.0,0.000266747936503578,2.0_beta_11,2454879.71042652,average_2009-02-17_s1d_A.fits,test,-9480.000000000024
53,0.46323404445885763,0.0,0.001581121004480382,0.16540615590336966,0.0,0.00023534925836492718,0.11608257344098426,0.0,0.0002289543421132118,2.0_beta_11,2454616.54398222,average_2009-02-18_s1d_A.fits,test,-9550.000000000022
54,0.44501691846551483,0.0,0.0014583088585524782,0.16442823362155842,0.0,0.00023567318456963607,0.11503828567268355,0.0,0.00022541580170029775,2.0_beta_11,2454881.84406762,average_2009-02-19_s1d_A.fits,test,-9740.000000000018
55,0.45278023993567823,0.0,0.0014009968516157816,0.16438668108271173,0.0,0.00022594915128607948,0.11339871250209031,0.0,0.0002136730226653358,2.0_beta_11,2454853.86463752,average_2009-02-20_s1d_A.fits,test,-9800.000000000016
56,0.44895664841571886,0.0,0.0013288618763498646,0.16426525606900494,0.0,0.00022077649043618965,0.11569042517684236,0.0,0.0002114408255992437,2.0_beta_11,2454883.70314954,average_2009-02-21_s1d_A.fits,test,-9770.000000000018
57,0.39595255416542924,0.0,0.0011615268015644038,0.15858493863575726,0.0,0.00020265241132192536,0.11308966313759196,0.0,0.0001917953495314042,2.0_beta_11,2455219.7667681,average_2009-02-22_s1d_A.fits,test,-9500.000000000024
58,0.44370305813226735,0.0,0.00113891470408815,0.16275081573744632,0.0,0.00018630930471492073,0.11592027288166122,0.0,0.0001812291927974358,2.0_beta_11,2454422.85207867,average_2009-02-23_s1d_A.fits,test,-9500.000000000024
59,0.4306995286672662,0.0,0.0012208486613440467,0.16155220207789134,0.0,0.00020844889501478372,0.11542083180711478,0.0,0.00020042052711259162,2.0_beta_11,2454800.78609111,average_2009-02-24_s1d_A.fits,test,-9500.000000000024
60,0.42860831654564435,0.0,0.0011856343598380685,0.1607638241346585,0.0,0.00020697802213044675,0.11322877004601181,0.0,0.00019633529744235803,2.0_beta_11,2454913.49375278,average_2009-03-22_s1d_A.fits,test,-9450.000000000024
61,0.4037319956737362,3.4615546560796616e-06,0.0021153543683471603,0.16050169038098716,0.0,0.0003694873413575022,0.11427701964781953,0.0,0.0003487919928691581,2.0_beta_11,2455228.84825831,average_2009-03-23_s1d_A.fits,test,-9500.000000000024
62,0.3031099690339765,4.024566757995851e-06,0.0013914727341930745,0.15272190618909826,0.0,0.00026061404783412896,0.11214975331472408,0.0,0.0002620580984590199,2.0_beta_11,2453063.67445742,average_2009-03-24_s1d_A.fits,test,-9480.000000000024
63,0.39758664353548395,0.0,0.0016392597151812227,0.16011611544013166,0.0,0.0002938789352928048,0.11551218258667292,0.0,0.0002801393914216854,2.0_beta_11,2455231.71538548,average_2009-03-25_s1d_A.fits,test,-9490.000000000024
64,0.40172332512855075,0.0,0.0013336695739336183,0.15817563151676056,0.0,0.00023481453519260298,0.11548675294657881,0.0,0.0002243501772969766,2.0_beta_11,2455243.80918507,average_2009-03-26_s1d_A.fits,test,-9480.000000000024
65,0.42318349762075824,0.0,0.0013057348647310767,0.1616911764896111,0.0,0.00022160300009459475,0.11254796959159222,0.0,0.00020904614657993773,2.0_beta_11,2454917.71869147,average_2009-03-27_s1d_A.fits,test,-9430.000000000025
66,0.46451353367134973,0.0,0.0010137565798514548,0.16491048594307592,0.0,0.00015242747557880587,0.11454865728295402,0.0,0.00014513116163612623,2.0_beta_11,2454530.71158562,average_2009-03-28_s1d_A.fits,test,-9480.000000000024
67,0.43872932173001783,0.0,0.0012697058985672782,0.16123788117736143,0.0,0.0002155457324448745,0.11611187375541568,0.0,0.000208310509954842,2.0_beta_11,2454779.87318453,average_2009-03-29_s1d_A.fits,test,-9490.000000000024
68,0.38382297251323305,0.0,0.0014633664451509177,0.15898848885466613,0.0,0.0002721466246188833,0.11466528644546824,0.0,0.00025851296519790497,2.0_beta_11,2455276.53084712,average_2009-03-30_s1d_A.fits,test,-9460.000000000024
69,0.4730159093871073,7.506260038640849e-06,0.0020369646171197616,0.16493544880509883,0.0,0.000310760785832017,0.11602438426918775,0.0,0.00030084929979024255,2.0_beta_11,2454618.4994802,average_2009-12-19_s1d_A.fits,test,-9540.000000000022
70,0.4286540660228519,0.0,0.0015744101037716614,0.16018059267025914,0.0,0.00026129600297699257,0.11648568645438682,0.0,0.0002554438806073958,2.0_beta_11,2454780.87114101,average_2010-01-23_s1d_A.fits,test,-9490.000000000024
71,0.3978387433833956,0.0,0.0013142632177461193,0.15809827134365084,0.0,0.00022561975381797826,0.115025029368759,0.0,0.00021658961578087117,2.0_beta_11,2455242.86175157,average_2010-01-24_s1d_A.fits,test,-9480.000000000024
72,0.40222177870714565,0.0,0.0013347669429597693,0.15828941304167662,0.0,0.00022310555760516758,0.11494849803462709,0.0,0.0002144665074955606,2.0_beta_11,2455244.77581957,average_2010-01-26_s1d_A.fits,test,-9480.000000000024
73,0.4506378111429863,0.0,0.0013667365125912996,0.16491454151831492,0.0,0.00022537569533649603,0.11596926537541188,0.0,0.0002159176263227303,2.0_beta_11,2454885.72885163,average_2010-01-27_s1d_A.fits,test,-9810.000000000016
74,0.44832470207343206,0.0,0.001362669407622726,0.16366202519609863,0.0,0.00022673927250431474,0.1154974766356269,0.0,0.00021637981952502642,2.0_beta_11,2454878.84380643,average_2010-01-28_s1d_A.fits,test,-9300.000000000027
75,0.37655495044711157,0.0,0.0009859010723824813,0.15825095639647238,0.0,0.00016835928104318808,0.1127865331885862,0.0,0.00016611742416306597,2.0_beta_11,2453759.77268166,average_2010-01-29_s1d_A.fits,test,-9500.000000000024
76,0.39499677443391445,0.0,0.0013251501689686383,0.16015295795979992,0.0,0.0002677657094531859,0.1125749186420291,0.0,0.0002451412172537447,2.0_beta_11,2455222.81010438,average_2010-01-30_s1d_A.fits,test,-9490.000000000024
77,0.4032722229889399,0.0,0.0014446582023284384,0.15818008673916592,0.0,0.00024864003434832703,0.11499360265516238,0.0,0.0002374841299146064,2.0_beta_11,2455247.75688833,average_2010-02-01_s1d_A.fits,test,-9480.000000000024
78,0.43080266042464266,0.0,0.0014337350590851458,0.1624244806524519,0.0,0.0002440837959664153,0.11486888963951065,0.0,0.0002340170726222249,2.0_beta_11,2454799.82986427,average_2010-02-04_s1d_A.fits,test,-9500.000000000024
